"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"을지로27가길 24","","127.000532430","37.567727261","100324","11140000022","KOR","을지어린이집","","중구","","","","","","02-2267-4539","국공립","시간연장형 null","52","28","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-16 04:00:08.0"
"동호로5길 193","","127.008988829","37.546544932","100324","11140000023","KOR","남산숲어린이집","","중구","","","","","","02-2234-2753","국공립","시간연장형 휴일보육","131","118","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-15 04:00:08.0"
"이촌로 260","","126.976076496","37.518568148","100324","11170000040","KOR","파랑새어린이집","","용산구","","","","","","02-792-4682","가정","일반","20","16","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2019-01-03 04:00:21.0"
"다산로38길 80","","127.019330976","37.561536417","100324","11140000025","KOR","동화나라어린이집","","중구","","","","","","02-2236-5156","국공립","장애아통합 시간연장형 휴일보육","165","134","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-01 04:00:19.0"
"남대문로 90","","126.982925219","37.565098794","100324","11140000026","KOR","SK네트웍스새싹어린이집","","중구","","","","","","070-7800-2115","직장","일반","49","29","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-16 04:00:08.0"
"서울특별시 종로구 삼일대로32길 31-8","서울특별시 종로구 운니동 69","126.988728032","37.575687308","100324","11110000031","KOR","운현어린이집","","종로구","","","","","","02-745-1278","법인.단체등","일반","51","51","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-10-12 17:30:24.0"
"낙산4길 24","","127.007033245","37.579140477","100324","11110000032","KOR","동숭어린이집","","종로구","","","","","","02-742-2695","국공립","시간연장형","87","61","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2019-01-01 04:00:08.0"
"대학로14길 34","","127.002542074","37.584776614","100324","11110000033","KOR","혜화어린이집","","종로구","","","","","","02-742-2694","국공립","시간연장형","64","63","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-11-03 04:00:07.0"
"통일로18길 9","","126.956408207","37.576612569","100324","11110000034","KOR","인왕어린이집","","종로구","","","","","","02-738-8577","국공립","시간연장형","79","61","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-11-06 04:00:04.0"
"자하문로35길 21","","126.966039686","37.588373607","100324","11110000035","KOR","청운어린이집","","종로구","","","","","","02-730-9261","국공립","시간연장형","71","53","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-11-06 04:00:05.0"
"서울특별시 중구 동호로10길 30","서울특별시 중구 신당동 842","127.013799379","37.554828687","100324","11140000028","KOR","다솜어린이집","","중구","","","","","","02-2236-9121","국공립","일반","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2018-10-12 17:30:19.0"
"을지로1가 을지로 19","","126.979957958","37.566311352","100324","11140000034","KOR","서소문삼성어린이집","","중구","","","","","","02-757-5463","직장","일반","126","73","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-22 04:00:08.0"
"동호로15길 21-36","","127.009296449","37.555780583","100324","11140000035","KOR","신당삼성어린이집","","중구","","","","","","02-2233-6925","민간개인","일반","52","34","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2018-12-25 04:00:06.0"
"새창로 70","","126.956781656","37.538718412","100324","11170000041","KOR","도담어린이집","","용산구","","","","","","070-4407-2993","가정","일반","19","18","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2019-01-03 04:00:21.0"
"서울특별시 종로구 지봉로5길 7-5","서울특별시 종로구 창신동 222-8","127.014386309","37.573481872","100324","11110000036","KOR","구민회관어린이집","","종로구","","","","","","02-744-9700","국공립","시간연장형","34","32","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-10-12 17:30:24.0"
"필운대로1길 16-8","","126.968702733","37.578116207","100324","11110000038","KOR","사직어린이집","","종로구","","","","","","02-720-0798","국공립","장애아통합 시간연장형","101","91","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-04 04:00:04.0"
"삼봉로 43","","126.979581392","37.572672834","100324","11110000039","KOR","종로구청직장어린이집","","종로구","","","","","","02-720-5852","직장","시간연장형","35","26","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-11 04:00:06.0"
"지봉로 86","","127.015594599","37.577832996","100324","11110000040","KOR","숭인어린이집","","종로구","","","","","","02-743-7527","국공립","장애아통합 시간연장형","52","52","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-03 04:00:08.0"
"돈화문로5가길 23","","126.991276275","37.571757535","100324","11110000041","KOR","초동어린이집","","종로구","","","","","","02-765-6205","법인.단체등","장애아통합","49","41","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2018-12-04 04:00:09.0"
"다산로 32","","127.007527432","37.547624519","100324","11140000036","KOR","한솔어린이집","","중구","","","","","","02-2256-0330","민간개인","일반","111","109","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-10 04:00:09.0"
"성균관로13길 66","","126.994950098","37.591351131","100324","11110000044","KOR","명륜어린이집","","종로구","","","","","","02-742-8436","국공립","장애아통합 시간연장형","136","110","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-09 04:00:05.0"
"백범로51길 1","","126.958867760","37.540609938","100324","11170000043","KOR","대성어린이집","","용산구","","","","","","02-713-0344","민간개인","시간연장형","31","26","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2019-01-04 04:00:13.0"
"창신4가길 40","","127.009441802","37.574864925","100324","11110000046","KOR","성터어린이집","","종로구","","","","","","02-3672-3571","법인.단체등","시간연장형 휴일보육","49","27","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-04 04:00:04.0"
"창신7가길 3","","127.009698178","37.575701286","100324","11110000048","KOR","창신제일어린이집","","종로구","","","","","","02-741-7761","국공립","시간연장형 휴일보육","39","35","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-17 04:00:06.0"
"남대문로5가 퇴계로 24","","126.975944711","37.556633464","100324","11140000099","KOR","SK브로드밴드 행복한 어린이집","","중구","","","","","","02-6266-2300","직장","시간연장형","35","33","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:17.0","2018-12-06 04:00:08.0"
"을지로2가 을지로 55","","126.984024061","37.566409298","100324","11140000100","KOR","을지로 푸르니 하나금융 어린이집","","중구","","","","","","02-779-6227","직장","시간연장형","75","49","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:17.0","2018-12-29 04:00:10.0"
"효창원로76길 25-6","","126.963318272","37.543510109","100324","11170000036","KOR","백송어린이집","","용산구","","","","","","02-718-3103","국공립","장애아통합 시간연장형","79","76","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2018-11-22 04:00:09.0"
"우사단로10길 115","","127.001507438","37.531382001","100324","11170000037","KOR","하늘빛어린이집","","용산구","","","","","","02-796-1689","민간개인","일반","49","49","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2018-12-05 04:00:14.0"
"대사관로5길 1","","127.000507821","37.534568110","100324","11170000038","KOR","한남어린이집","","용산구","","","","","","02-749-0824","국공립","장애아통합 시간연장형","52","52","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2018-12-20 04:00:07.0"
"서울특별시 종로구 대학로3길 9","서울특별시 종로구 연지동 136-26","127.001372258","37.573984607","100324","11110000053","KOR","연동어린이집","","종로구","","","","","","02-3673-2866","민간개인","일반","50","41","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2018-10-12 17:30:23.0"
"원효로25길 14","","126.954355076","37.532648137","100324","11170000039","KOR","아가꿈어린이집","","용산구","","","","","","02-719-2288","가정","영아전담 시간연장형","20","18","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:15.0","2019-01-05 04:00:11.0"
"서울특별시 종로구 평창문화로 143","서울특별시 종로구 평창동 66-28","126.975468052","37.610090999","100324","11110000056","KOR","신영어린이집","","종로구","","","","","","02-379-4214","가정","일반","","","","","","","","","","","","","","","","","","","시설유형","시설특성","","","","","","","","","","","","","","","","","","","","1","4","#0000FF","","2018-10-12 17:30:23.0","2018-10-12 17:30:23.0"
"자하문로43길 4-13","","126.960515352","37.598563020","100324","11110000057","KOR","엔젤키즈어린이집","","종로구","","","","","","02-379-5133","국공립","시간연장형","39","29","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-15 04:00:06.0"
"사직로8길 48","","126.973869336","37.573768613","100324","11110000058","KOR","종교교회어린이집","","종로구","","","","","","02-6322-2190","민간개인","시간연장형","58","51","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-01 04:00:10.0"
"혜화로14길 19","","127.000512952","37.590181759","100324","11110000061","KOR","만나어린이집","","종로구","","","","","","02-766-5763","민간개인","시간연장형","46","39","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-01 04:00:10.0"
"신문로1가 새문안로3길 3","","126.972394474","37.570656894","100324","11110000021","KOR","새문안어린이집","","종로구","","","","","","02-733-9194","법인","시간연장형","42","36","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-11-20 04:00:05.0"
"율곡로20길 3","","127.005134942","37.574961600","100324","11110000009","KOR","이화어린이집","","종로구","","","","","","02-747-2686","민간개인","시간연장형 휴일보육","64","60","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:25.0","2019-01-12 04:00:05.0"
"서울특별시 종로구 삼청로7길 26","서울특별시 종로구 팔판동 5-12","126.980460684","37.584022373","100324","11110000011","KOR","삼청어린이집","","종로구","","","","","","02-723-0155","국공립","시간연장형","32","27","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:25.0","2018-10-12 17:30:25.0"
"창신5길 22","","127.011991498","37.573625553","100324","11110000012","KOR","창신어린이집","","종로구","","","","","","02-743-6302","법인","시간연장형","77","41","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:25.0","2018-12-25 04:00:04.0"
"지봉로13길 14","","127.014529896","37.578767463","100324","11110000013","KOR","아동회관어린이집","","종로구","","","","","","02-763-6038","국공립","시간연장형","96","76","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:25.0","2018-12-15 04:00:06.0"
"세검정로6다길 10-7","","126.963087643","37.601539273","100324","11110000014","KOR","부암어린이집","","종로구","","","","","","02-396-6226","국공립","장애아통합 시간연장형","89","78","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2019-01-01 04:00:06.0"
"창신길 210-11","","127.010182783","37.579547111","100324","11110000015","KOR","낙산어린이집","","종로구","","","","","","02-765-1268","국공립","장애아통합 시간연장형","52","43","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-12-11 04:00:06.0"
"종로65길 10","","127.019961749","37.574874637","100324","11110000016","KOR","한빛어린이집","","종로구","","","","","","02-763-6825","국공립","시간연장형","52","32","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-12-29 04:00:06.0"
"옥인길 89","","126.963941929","37.581962928","100324","11110000017","KOR","세종마을어린이집","","종로구","","","","","","02-732-3070","국공립","시간연장형","50","47","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-12-01 04:00:06.0"
"지봉로12가길 35","","127.016983967","37.575659734","100324","11110000018","KOR","조은어린이집","","종로구","","","","","","02-763-7800","국공립","시간연장형","65","62","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-11-07 04:00:04.0"
"옥인길 23-4","","126.967193968","37.580801208","100324","11110000019","KOR","누상어린이집","","종로구","","","","","","02-738-6711","국공립","시간연장형","49","35","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-12-04 04:00:06.0"
"서울특별시 종로구 통일로8길 16","서울특별시 종로구 송월동 112-27","126.965319084","37.569415199","100324","11110000069","KOR","다솔 방과후교실","","종로구","","","","","","02-722-5011","민간개인","방과후 전담","39","33","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2018-10-12 17:30:23.0"
"종로 381-1","","127.019535345","37.574509382","100324","11110000070","KOR","숭일어린이집","","종로구","","","","","","02-742-5706","가정","시간연장형","11","9","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-01 04:00:11.0"
"혜화로2길 12-6","","127.001089554","37.586461569","100324","11110000073","KOR","영희어린이집","","종로구","","","","","","02-766-0027","민간개인","시간연장형","72","42","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2018-12-08 04:00:04.0"
"종로 390","","127.020856029","37.574225452","100324","11110000077","KOR","ktis꿈나무어린이집","","종로구","","","","","","02-2250-3671","직장","일반","39","17","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-15 04:00:06.0"
"효자로 39","","126.973110007","37.579903159","100324","11110000079","KOR","서울청사한빛어린이집","","종로구","","","","","","02-735-6400","직장","시간연장형","264","208","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2018-12-29 04:00:08.0"
"낙산성곽동길 69","","127.008587275","37.578554548","100324","11110000082","KOR","창이어린이집","","종로구","","","","","","02-3675-1084","국공립","시간연장형","49","23","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-09 04:00:05.0"
"서울특별시 종로구 동숭3길 40","서울특별시 종로구 동숭동 25-1","127.004819452","37.582892151","100324","11110000083","KOR","서울대학병원어린이집","","종로구","","","","","","02-2072-2260","직장","일반","54","51","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2018-10-12 17:30:22.0"
"북촌로 54","","126.985581409","37.581650468","100324","11110000084","KOR","노틀담방과후교실어린이집","","종로구","","","","","","02-762-8010","민간개인","방과후 전담","30","16","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2018-12-01 04:00:09.0"
"북촌로7길 3-10","","126.984372255","37.579942175","100324","11110000086","KOR","안동어린이집","","종로구","","","","","","02-743-9307","민간개인","일반","50","49","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-03 04:00:10.0"
"통일로 246-20","","126.960414233","37.574878406","100324","11110000102","KOR","가람어린이집","","종로구","","","","","","02-723-4875","가정","일반","20","10","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2018-10-16 04:00:05.0"
"종로 26","","126.980303549","37.569689439","100324","11110000105","KOR","SK행복어린이집","","종로구","","","","","","02-2121-1611","직장","일반","85","74","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-11 04:00:06.0"
"서울특별시 종로구 대학로 65","서울특별시 종로구 연건동 128-9","127.001534728","37.577153607","100324","11110000111","KOR","KT혜화 어린이집","","종로구","","","","","","02-3676-9300","직장","일반","49","21","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2018-10-12 17:30:22.0"
"세종대로 209","","126.975221784","37.574916128","100324","11110000113","KOR","서울청사햇살어린이집","","종로구","","","","","","02-2100-4788","직장","시간연장형","30","24","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-01 04:00:13.0"
"세종로 세종대로 209","","126.975221784","37.574916128","100324","11110000122","KOR","서울청사푸르미어린이집","","종로구","","","","","","02-737-7327","직장","시간연장형","206","172","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-18 04:00:07.0"
"자하문로28길 8","","126.971104106","37.584812681","100324","11110000142","KOR","무궁화어린이집","","종로구","","","","","","02-730-2486","직장","시간연장형","222","187","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-10 04:00:08.0"
"서울특별시 종로구 이화장길 86-22","서울특별시 종로구 동숭동 192-19","127.005491671","37.579352064","100324","11110000143","KOR","대학로어린이집","","종로구","","","","","","02-741-0323","국공립","시간연장형","45","37","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2018-10-12 17:30:22.0"
"북촌로5길 11","","126.984239666","37.579246370","100324","11110000144","KOR","롯데백화점어린이집","","종로구","","","","","","02-3674-5008","직장","시간연장형 휴일보육","49","34","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-18 04:00:08.0"
"종로 14","","126.978862064","37.569812878","100324","11110000147","KOR","kids-sure어린이집","","종로구","","","","","","02-723-1272","직장","일반","69","35","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-11 04:00:07.0"
"종로33길 15","","127.000997273","37.571832884","100324","11110000148","KOR","미래나무어린이집","","종로구","","","","","","02-747-9557","직장","일반","49","35","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:22.0","2019-01-16 04:00:05.0"
